"","p.geomean","stat.mean","p.val","q.val","set.size","exp1","path","process"
"GO:0019884 antigen processing and presentation of exogenous antigen",0.000179213127886504,4.56480170343804,0.000179213127886504,0.00206831589375863,16,0.000179213127886504,"GO:0019884 antigen processing and presentation of exogenous antigen","bp"
"GO:0019724 B cell mediated immunity",0.000181838156187293,3.98896334823138,0.000181838156187294,0.0020843353277251,20,0.000181838156187293,"GO:0019724 B cell mediated immunity","bp"
"GO:0031341 regulation of cell killing",0.000198429020782069,3.94713624246663,0.000198429020782069,0.0022591412163364,21,0.000198429020782069,"GO:0031341 regulation of cell killing","bp"
"GO:0008283 cell proliferation",0.00021344823487999,3.55281223925304,0.000213448234879989,0.00241382735417975,200,0.00021344823487999,"GO:0008283 cell proliferation","bp"
"GO:0002275 myeloid cell activation involved in immune response",0.000226502649746399,4.62458977105494,0.000226502649746399,0.00254437976548455,14,0.000226502649746399,"GO:0002275 myeloid cell activation involved in immune response","bp"
"GO:0006260 DNA replication",0.00023262024420272,3.86083221954363,0.000232620244202719,0.00258205134867935,23,0.00023262024420272,"GO:0006260 DNA replication","bp"
"GO:0033043 regulation of organelle organization",0.000232920952521817,3.56956626887393,0.000232920952521817,0.00258205134867935,87,0.000232920952521817,"GO:0033043 regulation of organelle organization","bp"
"GO:0032609 interferon-gamma production",0.000250876952075002,3.89762650777823,0.000250876952075003,0.00276292591010705,19,0.000250876952075002,"GO:0032609 interferon-gamma production","bp"
"GO:0071887 leukocyte apoptotic process",0.000282172203299088,3.90895219480917,0.000282172203299088,0.00306285239816519,18,0.000282172203299088,"GO:0071887 leukocyte apoptotic process","bp"
"GO:0010033 response to organic substance",0.00028284177640128,3.47143570746202,0.000282841776401278,0.00306285239816519,235,0.00028284177640128,"GO:0010033 response to organic substance","bp"
"GO:0046631 alpha-beta T cell activation",0.000283563782856836,3.69292059052737,0.000283563782856837,0.00306285239816519,27,0.000283563782856836,"GO:0046631 alpha-beta T cell activation","bp"
"GO:0016064 immunoglobulin mediated immune response",0.000288403373782151,3.84000179373774,0.000288403373782152,0.00309528461670654,19,0.000288403373782151,"GO:0016064 immunoglobulin mediated immune response","bp"
"GO:0006261 DNA-dependent DNA replication",0.000291849637934307,4.40815370441324,0.000291849637934307,0.00311244708809689,15,0.000291849637934307,"GO:0006261 DNA-dependent DNA replication","bp"
"GO:0097529 myeloid leukocyte migration",0.000296176180207422,3.62404516586089,0.000296176180207422,0.00313872241288997,32,0.000296176180207422,"GO:0097529 myeloid leukocyte migration","bp"
"GO:1903708 positive regulation of hemopoiesis",0.000306584592258202,3.68146227164013,0.000306584592258202,0.00322871898721919,25,0.000306584592258202,"GO:1903708 positive regulation of hemopoiesis","bp"
"GO:0002504 antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",0.000322918440612646,4.43603140129383,0.000322918440612647,0.00337961225113236,14,0.000322918440612646,"GO:0002504 antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","bp"
"GO:0002709 regulation of T cell mediated immunity",0.000346986860783398,3.89360328316166,0.000346986860783398,0.00360909173098781,17,0.000346986860783398,"GO:0002709 regulation of T cell mediated immunity","bp"
"GO:2000026 regulation of multicellular organismal development",0.000351914111034495,3.41818779635584,0.000351914111034494,0.00363788513554063,178,0.000351914111034495,"GO:2000026 regulation of multicellular organismal development","bp"
"GO:0070227 lymphocyte apoptotic process",0.000371523293059355,4.42994396731354,0.000371523293059355,0.00381717529759154,13,0.000371523293059355,"GO:0070227 lymphocyte apoptotic process","bp"
"GO:0050727 regulation of inflammatory response",0.000405338451249556,3.45697674250814,0.000405338451249555,0.00413936539609394,50,0.000405338451249556,"GO:0050727 regulation of inflammatory response","bp"
"GO:0016477 cell migration",0.000422638887995914,3.37117790425415,0.000422638887995914,0.00429003931489828,153,0.000422638887995914,"GO:0016477 cell migration","bp"
"GO:0050777 negative regulation of immune response",0.000438538867723179,3.64451588068147,0.000438538867723179,0.00442477839588956,20,0.000438538867723179,"GO:0050777 negative regulation of immune response","bp"
"GO:2000106 regulation of leukocyte apoptotic process",0.000457313477018813,3.74488626691994,0.000457313477018812,0.00458674529033749,17,0.000457313477018813,"GO:2000106 regulation of leukocyte apoptotic process","bp"
"GO:0007162 negative regulation of cell adhesion",0.000464210669051211,3.46846636609436,0.000464210669051212,0.00462837264704907,35,0.000464210669051211,"GO:0007162 negative regulation of cell adhesion","bp"
"GO:0006909 phagocytosis",0.000473229928263593,3.45207779371868,0.000473229928263593,0.00468111857585162,37,0.000473229928263593,"GO:0006909 phagocytosis","bp"
"GO:0051607 defense response to virus",0.000475057137371292,3.62195223011082,0.000475057137371292,0.00468111857585162,19,0.000475057137371292,"GO:0051607 defense response to virus","bp"
"GO:0034341 response to interferon-gamma",0.000488599179906296,3.56129998784296,0.000488599179906295,0.00478656754733783,22,0.000488599179906296,"GO:0034341 response to interferon-gamma","bp"
"GO:0031343 positive regulation of cell killing",0.000511385904636877,3.76530736182915,0.000511385904636878,0.00498083959140543,16,0.000511385904636877,"GO:0031343 positive regulation of cell killing","bp"
"GO:0032635 interleukin-6 production",0.000524997657149075,3.55675461657246,0.000524997657149077,0.00508402903618502,22,0.000524997657149075,"GO:0032635 interleukin-6 production","bp"
"GO:0002495 antigen processing and presentation of peptide antigen via MHC class II",0.000530563919358554,4.26221434820226,0.000530563919358555,0.00510358816407494,13,0.000530563919358554,"GO:0002495 antigen processing and presentation of peptide antigen via MHC class II","bp"
"GO:0048513 animal organ development",0.000534474413781567,3.28841849999872,0.000534474413781568,0.00510358816407494,289,0.000534474413781567,"GO:0048513 animal organ development","bp"
"GO:0000819 sister chromatid segregation",0.000536103919905795,3.8200433562188,0.000536103919905794,0.00510358816407494,16,0.000536103919905795,"GO:0000819 sister chromatid segregation","bp"
"GO:0048870 cell motility",0.000553896306102333,3.2919264423608,0.000553896306102334,0.00521405182001359,159,0.000553896306102333,"GO:0048870 cell motility","bp"
"GO:0051674 localization of cell",0.000553896306102333,3.2919264423608,0.000553896306102334,0.00521405182001359,159,0.000553896306102333,"GO:0051674 localization of cell","bp"
"GO:1902107 positive regulation of leukocyte differentiation",0.000562892528244691,3.48741203698707,0.000562892528244693,0.00526929950051282,24,0.000562892528244691,"GO:1902107 positive regulation of leukocyte differentiation","bp"
"GO:0070228 regulation of lymphocyte apoptotic process",0.000598872129611975,4.26809805498812,0.000598872129611974,0.00557513557124959,12,0.000598872129611975,"GO:0070228 regulation of lymphocyte apoptotic process","bp"
"GO:0002286 T cell activation involved in immune response",0.000606777766868969,3.73720419767591,0.00060677776686897,0.00561769525919898,15,0.00060677776686897,"GO:0002286 T cell activation involved in immune response","bp"
"GO:0033554 cellular response to stress",0.000624333036716031,3.27569706257829,0.00062433303671603,0.00574864025610115,98,0.000624333036716031,"GO:0033554 cellular response to stress","bp"
"GO:0032649 regulation of interferon-gamma production",0.000636696673128841,3.58559322261615,0.00063669667312884,0.00583061899033747,17,0.000636696673128841,"GO:0032649 regulation of interferon-gamma production","bp"
"GO:0007229 integrin-mediated signaling pathway",0.000642778197238992,3.59228943602451,0.000642778197238991,0.00585449330998757,17,0.000642778197238991,"GO:0007229 integrin-mediated signaling pathway","bp"
"GO:0022607 cellular component assembly",0.000658663960597509,3.23716690256929,0.000658663960597509,0.00590953010031347,185,0.000658663960597509,"GO:0022607 cellular component assembly","bp"
"GO:0044085 cellular component biogenesis",0.000658663960597509,3.23716690256929,0.000658663960597509,0.00590953010031347,185,0.000658663960597509,"GO:0044085 cellular component biogenesis","bp"
"GO:0002573 myeloid leukocyte differentiation",0.000659342230776814,3.42092288017496,0.000659342230776815,0.00590953010031347,25,0.000659342230776814,"GO:0002573 myeloid leukocyte differentiation","bp"
"GO:0015031 protein transport",0.000670510422995264,3.2492855461834,0.000670510422995264,0.00594787472585171,111,0.000670510422995264,"GO:0015031 protein transport","bp"
"GO:0009617 response to bacterium",0.000670680236149452,3.25878350844225,0.000670680236149451,0.00594787472585171,90,0.000670680236149452,"GO:0009617 response to bacterium","bp"
"GO:0051704 multi-organism process",0.000680843035530308,3.2265615947644,0.000680843035530308,0.00600639013020193,191,0.000680843035530308,"GO:0051704 multi-organism process","bp"
"GO:0051270 regulation of cellular component movement",0.000693091972656355,3.24216894724295,0.000693091972656354,0.00608260403086436,103,0.000693091972656355,"GO:0051270 regulation of cellular component movement","bp"
"GO:2000145 regulation of cell motility",0.000709455822513907,3.23700597527945,0.000709455822513908,0.00619395368360588,99,0.000709455822513907,"GO:2000145 regulation of cell motility","bp"
"GO:0008219 cell death",0.000770432201846347,3.19259723674743,0.000770432201846348,0.00669164051603658,172,0.000770432201846348,"GO:0008219 cell death","bp"
"GO:0045619 regulation of lymphocyte differentiation",0.000794643893621476,3.36527674452139,0.000794643893621476,0.00686653826026763,24,0.000794643893621476,"GO:0045619 regulation of lymphocyte differentiation","bp"
"GO:0002377 immunoglobulin production",0.000814328888707515,3.6877646354528,0.000814328888707515,0.00700073559934777,14,0.000814328888707515,"GO:0002377 immunoglobulin production","bp"
"GO:0032640 tumor necrosis factor production",0.000830095692097312,3.31869809498367,0.000830095692097312,0.00706419818779783,28,0.000830095692097312,"GO:0032640 tumor necrosis factor production","bp"
"GO:0071706 tumor necrosis factor superfamily cytokine production",0.000830095692097312,3.31869809498367,0.000830095692097312,0.00706419818779783,28,0.000830095692097312,"GO:0071706 tumor necrosis factor superfamily cytokine production","bp"
"GO:0032729 positive regulation of interferon-gamma production",0.000835434052910527,4.16593125942198,0.000835434052910526,0.00707390140278511,11,0.000835434052910527,"GO:0032729 positive regulation of interferon-gamma production","bp"
"GO:0006928 movement of cell or subcellular component",0.000841690482470368,3.1645508525787,0.000841690482470368,0.00709124231481285,184,0.000841690482470368,"GO:0006928 movement of cell or subcellular component","bp"
"GO:0065003 protein-containing complex assembly",0.000863352207023368,3.16909423190206,0.000863352207023367,0.00723755457131529,122,0.000863352207023368,"GO:0065003 protein-containing complex assembly","bp"
"GO:0072678 T cell migration",0.00087942160441709,4.14663335511443,0.000879421604417091,0.00733576932397425,11,0.00087942160441709,"GO:0072678 T cell migration","bp"
"GO:0042100 B cell proliferation",0.000886254128887595,4.03966562313516,0.000886254128887595,0.00735634584815565,12,0.000886254128887595,"GO:0042100 B cell proliferation","bp"
"GO:0030334 regulation of cell migration",0.000900659881438973,3.16504054190723,0.000900659881438975,0.00743927402070918,98,0.000900659881438973,"GO:0030334 regulation of cell migration","bp"
"GO:0071705 nitrogen compound transport",0.000926360824172746,3.1419186368112,0.000926360824172747,0.00761423409137111,146,0.000926360824172746,"GO:0071705 nitrogen compound transport","bp"
"GO:0006996 organelle organization",0.000931056057807832,3.13189499518325,0.000931056057807832,0.00761567697769999,206,0.000931056057807832,"GO:0006996 organelle organization","bp"
"GO:0002831 regulation of response to biotic stimulus",0.000951029754676616,4.13460185708989,0.000951029754676619,0.0077414740900005,11,0.000951029754676616,"GO:0002831 regulation of response to biotic stimulus","bp"
"GO:0048731 system development",0.000981602674892067,3.10672920523874,0.000981602674892066,0.00791879477081402,375,0.000981602674892067,"GO:0048731 system development","bp"
"GO:0048856 anatomical structure development",0.000986441081883165,3.10350186891611,0.000986441081883163,0.00791879477081402,446,0.000986441081883165,"GO:0048856 anatomical structure development","bp"
"GO:0033077 T cell differentiation in thymus",0.000986912107935278,3.60499062262231,0.000986912107935279,0.00791879477081402,14,0.000986912107935279,"GO:0033077 T cell differentiation in thymus","bp"
"GO:0006310 DNA recombination",0.00104912786402979,3.35076033499853,0.00104912786402979,0.00834576226540192,19,0.00104912786402979,"GO:0006310 DNA recombination","bp"
"GO:0040011 locomotion",0.00105003062330279,3.09897806084612,0.00105003062330279,0.00834576226540192,175,0.00105003062330279,"GO:0040011 locomotion","bp"
"GO:0042886 amide transport",0.00106297343317555,3.10690431408766,0.00106297343317555,0.00840896823897087,118,0.00106297343317555,"GO:0042886 amide transport","bp"
"GO:0001944 vasculature development",0.00107554061561806,3.14416391709557,0.00107554061561806,0.00841021294809868,56,0.00107554061561806,"GO:0001944 vasculature development","bp"
"GO:0072358 cardiovascular system development",0.00107554061561806,3.14416391709557,0.00107554061561806,0.00841021294809868,56,0.00107554061561806,"GO:0072358 cardiovascular system development","bp"
"GO:0045184 establishment of protein localization",0.00107810444913312,3.1034214745726,0.00107810444913312,0.00841021294809868,116,0.00107810444913313,"GO:0045184 establishment of protein localization","bp"
"GO:0050853 B cell receptor signaling pathway",0.00109219511337273,3.5674026574213,0.00109219511337273,0.00848086988955324,14,0.00109219511337273,"GO:0050853 B cell receptor signaling pathway","bp"
"GO:0002444 myeloid leukocyte mediated immunity",0.00110361573914592,4.05380396770416,0.00110361573914592,0.0085302409195453,11,0.00110361573914592,"GO:0002444 myeloid leukocyte mediated immunity","bp"
"GO:0071346 cellular response to interferon-gamma",0.00116213698795165,3.36456972820369,0.00116213698795164,0.00894155627716219,16,0.00116213698795165,"GO:0071346 cellular response to interferon-gamma","bp"
"GO:0035710 CD4-positive, alpha-beta T cell activation",0.00117343833551218,3.49027204812597,0.00117343833551218,0.00894680359881462,14,0.00117343833551218,"GO:0035710 CD4-positive, alpha-beta T cell activation","bp"
"GO:0043367 CD4-positive, alpha-beta T cell differentiation",0.00117343833551218,3.49027204812597,0.00117343833551218,0.00894680359881462,14,0.00117343833551218,"GO:0043367 CD4-positive, alpha-beta T cell differentiation","bp"
"GO:0032680 regulation of tumor necrosis factor production",0.00123067487949326,3.18891455609613,0.00123067487949327,0.0092990456141083,27,0.00123067487949326,"GO:0032680 regulation of tumor necrosis factor production","bp"
"GO:1903555 regulation of tumor necrosis factor superfamily cytokine production",0.00123067487949326,3.18891455609613,0.00123067487949327,0.0092990456141083,27,0.00123067487949326,"GO:1903555 regulation of tumor necrosis factor superfamily cytokine production","bp"
"GO:0007275 multicellular organism development",0.00127581825787796,3.0265170201367,0.00127581825787796,0.00959711502019807,409,0.00127581825787796,"GO:0007275 multicellular organism development","bp"
"GO:0032675 regulation of interleukin-6 production",0.00130786552979218,3.24660840681934,0.00130786552979218,0.00979445963422144,20,0.00130786552979218,"GO:0032675 regulation of interleukin-6 production","bp"
"GO:0001910 regulation of leukocyte mediated cytotoxicity",0.00134360123134966,3.29741808827552,0.00134360123134966,0.00994588710240663,17,0.00134360123134966,"GO:0001910 regulation of leukocyte mediated cytotoxicity","bp"
"GO:0008104 protein localization",0.00134713621917918,3.02363854570146,0.00134713621917918,0.00994588710240663,166,0.00134713621917918,"GO:0008104 protein localization","bp"
"GO:0050798 activated T cell proliferation",0.00135941223993607,4.04220076394183,0.00135941223993607,0.00994588710240663,10,0.00135941223993607,"GO:0050798 activated T cell proliferation","bp"
"GO:0070887 cellular response to chemical stimulus",0.00135967459963133,3.01321181421902,0.00135967459963134,0.00994588710240663,245,0.00135967459963133,"GO:0070887 cellular response to chemical stimulus","bp"
"GO:0032733 positive regulation of interleukin-10 production",0.00136283765104241,3.53562322768358,0.00136283765104241,0.00994588710240663,12,0.00136283765104241,"GO:0032733 positive regulation of interleukin-10 production","bp"
"GO:0032623 interleukin-2 production",0.00137001696270322,4.00555684976886,0.00137001696270321,0.00994588710240663,10,0.00137001696270322,"GO:0032623 interleukin-2 production","bp"
"GO:0002312 B cell activation involved in immune response",0.00137087806554245,3.97415156716221,0.00137087806554245,0.00994588710240663,10,0.00137087806554245,"GO:0002312 B cell activation involved in immune response","bp"
"GO:0044249 cellular biosynthetic process",0.00137830791514182,3.00692464313691,0.00137830791514182,0.00994588710240663,283,0.00137830791514182,"GO:0044249 cellular biosynthetic process","bp"
"GO:0035239 tube morphogenesis",0.00138732860772788,3.05216399443424,0.00138732860772789,0.00994588710240663,64,0.00138732860772788,"GO:0035239 tube morphogenesis","bp"
"GO:0000070 mitotic sister chromatid segregation",0.00139064236525241,3.46749279221194,0.0013906423652524,0.00994588710240663,14,0.00139064236525241,"GO:0000070 mitotic sister chromatid segregation","bp"
"GO:0048514 blood vessel morphogenesis",0.00139301445469909,3.07301388671844,0.00139301445469909,0.00994588710240663,48,0.00139301445469909,"GO:0048514 blood vessel morphogenesis","bp"
"GO:0043933 protein-containing complex subunit organization",0.00141561182030809,3.01362801613048,0.00141561182030809,0.0100645819291946,134,0.00141561182030809,"GO:0043933 protein-containing complex subunit organization","bp"
"GO:0001568 blood vessel development",0.00143591707116617,3.05202048139904,0.00143591707116617,0.0101660515332563,55,0.00143591707116617,"GO:0001568 blood vessel development","bp"
"GO:0050920 regulation of chemotaxis",0.00150262163575085,3.10111560463794,0.00150262163575085,0.0105740113314814,30,0.00150262163575085,"GO:0050920 regulation of chemotaxis","bp"
"GO:0019886 antigen processing and presentation of exogenous peptide antigen via MHC class II",0.00150609063475105,3.87035016590439,0.00150609063475106,0.0105740113314814,11,0.00150609063475105,"GO:0019886 antigen processing and presentation of exogenous peptide antigen via MHC class II","bp"
"GO:0051129 negative regulation of cellular component organization",0.00158945887319632,3.01417470947602,0.00158945887319632,0.0111130215823062,59,0.00158945887319632,"GO:0051129 negative regulation of cellular component organization","bp"
"GO:0001776 leukocyte homeostasis",0.00162383927222263,3.23998031885954,0.00162383927222263,0.0113064841888228,16,0.00162383927222263,"GO:0001776 leukocyte homeostasis","bp"
"GO:0043900 regulation of multi-organism process",0.00163577755194563,3.05189690650457,0.00163577755194563,0.0113427373457958,35,0.00163577755194563,"GO:0043900 regulation of multi-organism process","bp"
"GO:0033993 response to lipid",0.00168203116961458,2.99116740501624,0.00168203116961459,0.0116156660688548,62,0.00168203116961458,"GO:0033993 response to lipid","bp"
"GO:0045580 regulation of T cell differentiation",0.00172060814950831,3.1282568536607,0.00172060814950831,0.0118335703343735,20,0.00172060814950831,"GO:0045580 regulation of T cell differentiation","bp"
"GO:0002688 regulation of leukocyte chemotaxis",0.00174761198807339,3.11425890410208,0.00174761198807339,0.0119704317069255,21,0.00174761198807339,"GO:0002688 regulation of leukocyte chemotaxis","bp"
"GO:0015833 peptide transport",0.00175697006999965,2.94950262080602,0.00175697006999966,0.0119745468363614,116,0.00175697006999965,"GO:0015833 peptide transport","bp"
"GO:0032879 regulation of localization",0.00176421820262255,2.93076570919724,0.00176421820262255,0.0119745468363614,264,0.00176421820262255,"GO:0032879 regulation of localization","bp"
"GO:0050871 positive regulation of B cell activation",0.00176953244050682,3.84404222280052,0.00176953244050682,0.0119745468363614,10,0.00176953244050682,"GO:0050871 positive regulation of B cell activation","bp"
"GO:0051130 positive regulation of cellular component organization",0.00178189258007388,2.94784734244083,0.00178189258007388,0.0120099559896979,106,0.00178189258007388,"GO:0051130 positive regulation of cellular component organization","bp"
"GO:0043299 leukocyte degranulation",0.00180058506644612,3.87911347894912,0.00180058506644613,0.0120875929759431,10,0.00180058506644612,"GO:0043299 leukocyte degranulation","bp"
"GO:0032615 interleukin-12 production",0.00184461352737099,3.25568655490999,0.00184461352737099,0.0122852719115419,14,0.00184461352737099,"GO:0032615 interleukin-12 production","bp"
"GO:0032655 regulation of interleukin-12 production",0.00184461352737099,3.25568655490999,0.00184461352737099,0.0122852719115419,14,0.00184461352737099,"GO:0032655 regulation of interleukin-12 production","bp"
"GO:0035556 intracellular signal transduction",0.00185262102575323,2.9167392847195,0.00185262102575323,0.0122900253086385,238,0.00185262102575323,"GO:0035556 intracellular signal transduction","bp"
"GO:0032502 developmental process",0.00186453447061783,2.90747642290099,0.00186453447061783,0.0123205513058472,472,0.00186453447061783,"GO:0032502 developmental process","bp"
"GO:0050868 negative regulation of T cell activation",0.00187251633634801,3.13125407077936,0.00187251633634802,0.0123249610419782,18,0.00187251633634801,"GO:0050868 negative regulation of T cell activation","bp"
"GO:0044260 cellular macromolecule metabolic process",0.00190343399454299,2.90219428916718,0.001903433994543,0.0124387309086535,403,0.00190343399454299,"GO:0044260 cellular macromolecule metabolic process","bp"
"GO:0072676 lymphocyte migration",0.00190456532607277,3.13203900855203,0.00190456532607277,0.0124387309086535,17,0.00190456532607277,"GO:0072676 lymphocyte migration","bp"
"GO:0002532 production of molecular mediator involved in inflammatory response",0.00197334109913338,3.32080828385726,0.00197334109913339,0.0128381457607713,12,0.00197334109913338,"GO:0002532 production of molecular mediator involved in inflammatory response","bp"
"GO:0050921 positive regulation of chemotaxis",0.00200484987967571,3.07543935139707,0.00200484987967571,0.0129551055240434,20,0.00200484987967571,"GO:0050921 positive regulation of chemotaxis","bp"
"GO:0051250 negative regulation of lymphocyte activation",0.002023535427296,3.07274124609079,0.002023535427296,0.0129551055240434,20,0.002023535427296,"GO:0051250 negative regulation of lymphocyte activation","bp"
"GO:0012501 programmed cell death",0.00202952395281283,2.89472781656411,0.00202952395281284,0.0129551055240434,159,0.00202952395281283,"GO:0012501 programmed cell death","bp"
"GO:0050707 regulation of cytokine secretion",0.00202954543453024,3.02837014713127,0.00202954543453024,0.0129551055240434,25,0.00202954543453024,"GO:0050707 regulation of cytokine secretion","bp"
"GO:0098813 nuclear chromosome segregation",0.00203095047932042,3.04889962869495,0.00203095047932042,0.0129551055240434,23,0.00203095047932042,"GO:0098813 nuclear chromosome segregation","bp"
"GO:0045766 positive regulation of angiogenesis",0.0020374498301908,3.03134878382143,0.00203744983019081,0.0129551055240434,24,0.0020374498301908,"GO:0045766 positive regulation of angiogenesis","bp"
"GO:0007059 chromosome segregation",0.00206645571663579,3.01597592097019,0.00206645571663579,0.0130901424155312,26,0.00206645571663579,"GO:0007059 chromosome segregation","bp"
"GO:0030888 regulation of B cell proliferation",0.00208004313146288,3.74882219090858,0.00208004313146288,0.0131268639569848,10,0.00208004313146288,"GO:0030888 regulation of B cell proliferation","bp"
"GO:0001562 response to protozoan",0.00210776742785982,3.77300924290563,0.00210776742785982,0.0132521944624769,10,0.00210776742785982,"GO:0001562 response to protozoan","bp"
"GO:0040012 regulation of locomotion",0.00212494292443171,2.89181149753501,0.00212494292443172,0.0133105160879831,102,0.00212494292443172,"GO:0040012 regulation of locomotion","bp"
"GO:0048523 negative regulation of cellular process",0.00213934161402439,2.86594190462456,0.00213934161402439,0.0133510763690041,362,0.00213934161402439,"GO:0048523 negative regulation of cellular process","bp"
"GO:0051983 regulation of chromosome segregation",0.00218516741504839,3.29177171427249,0.00218516741504839,0.0135867420455961,13,0.00218516741504839,"GO:0051983 regulation of chromosome segregation","bp"
"GO:0046632 alpha-beta T cell differentiation",0.00224314182787344,3.03014250800845,0.00224314182787344,0.0138779012603663,20,0.00224314182787344,"GO:0046632 alpha-beta T cell differentiation","bp"
"GO:0043170 macromolecule metabolic process",0.00224846708847478,2.84795050398545,0.00224846708847478,0.0138779012603663,468,0.00224846708847478,"GO:0043170 macromolecule metabolic process","bp"
"GO:0002711 positive regulation of T cell mediated immunity",0.00227002323373696,3.20734710322955,0.00227002323373696,0.0139598144118496,13,0.00227002323373696,"GO:0002711 positive regulation of T cell mediated immunity","bp"
"GO:1902533 positive regulation of intracellular signal transduction",0.00228754757408357,2.8660676510824,0.00228754757408357,0.0140164278630212,107,0.00228754757408357,"GO:1902533 positive regulation of intracellular signal transduction","bp"
"GO:0050793 regulation of developmental process",0.002342456749906,2.84213771976113,0.002342456749906,0.0142589621128284,226,0.002342456749906,"GO:0050793 regulation of developmental process","bp"
"GO:0097530 granulocyte migration",0.00234405489926022,2.98822738605163,0.00234405489926022,0.0142589621128284,22,0.00234405489926022,"GO:0097530 granulocyte migration","bp"
"GO:0051179 localization",0.00243051237924937,2.82253128337981,0.00243051237924937,0.0147232779664374,491,0.00243051237924937,"GO:0051179 localization","bp"
"GO:0048519 negative regulation of biological process",0.00243786026862673,2.82310569754391,0.00243786026862673,0.0147232779664374,396,0.00243786026862673,"GO:0048519 negative regulation of biological process","bp"
"GO:0010941 regulation of cell death",0.00247765710286124,2.8330745249964,0.00247765710286124,0.0149101864940042,137,0.00247765710286124,"GO:0010941 regulation of cell death","bp"
"GO:0002260 lymphocyte homeostasis",0.00250938346684098,3.14950572808472,0.00250938346684098,0.0150473706107724,13,0.00250938346684098,"GO:0002260 lymphocyte homeostasis","bp"
"GO:0008284 positive regulation of cell proliferation",0.00252509376007534,2.83257900792526,0.00252509376007534,0.0150747916655254,110,0.00252509376007534,"GO:0008284 positive regulation of cell proliferation","bp"
"GO:0002695 negative regulation of leukocyte activation",0.00253184928269655,2.94154475136155,0.00253184928269655,0.0150747916655254,25,0.00253184928269656,"GO:0002695 negative regulation of leukocyte activation","bp"
"GO:0050866 negative regulation of cell activation",0.00255143620259224,2.92753322887278,0.00255143620259225,0.015137922540028,27,0.00255143620259224,"GO:0050866 negative regulation of cell activation","bp"
"GO:0009306 protein secretion",0.0026218365673485,2.84270922876068,0.0026218365673485,0.0155010337402885,63,0.0026218365673485,"GO:0009306 protein secretion","bp"
"GO:0007049 cell cycle",0.00265466888267772,2.81782632204548,0.00265466888267773,0.0155979082546017,104,0.00265466888267772,"GO:0007049 cell cycle","bp"
"GO:0002228 natural killer cell mediated immunity",0.00265673570864728,3.19103856283998,0.00265673570864729,0.0155979082546017,12,0.00265673570864728,"GO:0002228 natural killer cell mediated immunity","bp"
"GO:0045058 T cell selection",0.00271062383604503,3.05942238903119,0.00271062383604503,0.0157797446923235,15,0.00271062383604503,"GO:0045058 T cell selection","bp"
"GO:0071310 cellular response to organic substance",0.00271415269496907,2.79800160994547,0.00271415269496907,0.0157797446923235,175,0.00271415269496907,"GO:0071310 cellular response to organic substance","bp"
"GO:0006793 phosphorus metabolic process",0.0027251665907811,2.79200233566337,0.0027251665907811,0.0157797446923235,238,0.0027251665907811,"GO:0006793 phosphorus metabolic process","bp"
"GO:0006796 phosphate-containing compound metabolic process",0.0027251665907811,2.79200233566337,0.0027251665907811,0.0157797446923235,238,0.0027251665907811,"GO:0006796 phosphate-containing compound metabolic process","bp"
"GO:0002474 antigen processing and presentation of peptide antigen via MHC class I",0.00289084347914739,3.10915276789966,0.0028908434791474,0.0166817508985047,13,0.00289084347914739,"GO:0002474 antigen processing and presentation of peptide antigen via MHC class I","bp"
"GO:0002690 positive regulation of leukocyte chemotaxis",0.00292343898314827,2.96932279587727,0.00292343898314827,0.0168122685549653,17,0.00292343898314827,"GO:0002690 positive regulation of leukocyte chemotaxis","bp"
"GO:0009058 biosynthetic process",0.00294051086810599,2.76419837687555,0.00294051086810599,0.0168493204893027,302,0.00294051086810598,"GO:0009058 biosynthetic process","bp"
"GO:0009891 positive regulation of biosynthetic process",0.00294988103521917,2.77534156682268,0.00294988103521918,0.0168493204893027,136,0.00294988103521917,"GO:0009891 positive regulation of biosynthetic process","bp"
"GO:1990266 neutrophil migration",0.00301079079944842,2.9207405262789,0.00301079079944842,0.0171391300576709,19,0.00301079079944842,"GO:1990266 neutrophil migration","bp"
"GO:1904018 positive regulation of vasculature development",0.00307387942323471,2.86070705628464,0.00307387942323471,0.0174393495897323,27,0.00307387942323471,"GO:1904018 positive regulation of vasculature development","bp"
"GO:0042108 positive regulation of cytokine biosynthetic process",0.00311104303853572,3.03781556925173,0.00311104303853572,0.0175909648319889,13,0.00311104303853572,"GO:0042108 positive regulation of cytokine biosynthetic process","bp"
"GO:0033044 regulation of chromosome organization",0.00323944220924653,2.88500931253127,0.00323944220924653,0.0182557194735131,21,0.00323944220924653,"GO:0033044 regulation of chromosome organization","bp"
"GO:0031325 positive regulation of cellular metabolic process",0.00332056731327307,2.72722822209035,0.00332056731327308,0.0186505197428838,222,0.00332056731327307,"GO:0031325 positive regulation of cellular metabolic process","bp"
"GO:0009889 regulation of biosynthetic process",0.00336090351067002,2.72391355379967,0.00336090351067003,0.0188143601843156,210,0.00336090351067002,"GO:0009889 regulation of biosynthetic process","bp"
"GO:0006915 apoptotic process",0.0033944103121681,2.72532956094086,0.0033944103121681,0.0188930992702209,156,0.0033944103121681,"GO:0006915 apoptotic process","bp"
